Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	SuccessRateVal	OriSuccessRateVal	FinalDist	MaxFinalDist	MinFinalDist	FinalOriDist	MaxFinalOriDist	MinFinalOriDist	FinalOriScaledDist	MaxFinalOriScaledDist	MinFinalOriScaledDist	FinalScore	MaxFinalScore	MinFinalScore
55	201.43336	40.35528	304.25803	109.839294	50.0	64.6382	46.67273	156.81125	-7.774639	1260000	-7.450581e-09	436.24277	-0.023024645	-40.503136	0.5907867	0.010542577	0.14177778	79.0	5441.268368959427	0.30666667	0.10222222	0.08556798	0.16163352	0.0034592557	1.653007	3.129236	0.04823835	0.52616847	0.99606675	0.015354742	0.13239619	0.35370854	0.0059177317
56	202.12927	38.46183	290.1024	121.08682	50.0	66.188	45.486702	158.18549	-8.36952	1282500	4.4703485e-09	419.30402	-0.02469402	-32.77378	0.5843903	0.011246467	0.16791111	79.0	5536.623062849045	0.28444445	0.1	0.086614214	0.16099471	0.002330325	1.5907966	3.1387088	0.017198067	0.50636625	0.9990821	0.005474315	0.13274899	0.33150384	0.01587091
57	205.64413	40.15393	307.6768	107.8502	50.0	65.792244	45.95356	159.36061	-9.66758	1305000	6.3329937e-09	467.5175	-0.023209825	-44.351227	0.57621986	0.010353713	0.14835556	79.0	5638.005635023117	0.3911111	0.09777778	0.082567595	0.16093287	0.0046994397	1.6658933	3.141184	0.018586341	0.5302703	0.99986994	0.005916216	0.12683806	0.28338417	0.01049364
58	203.40775	39.77279	305.4998	112.5448	50.0	67.72741	46.006805	160.74971	-11.187559	1327500	-2.7567149e-08	480.06317	-0.023553785	-43.0084	0.56874657	0.011073223	0.14786667	79.0	5740.819099187851	0.30888888	0.10666667	0.082093045	0.1610746	0.0039527593	1.6254807	3.1378427	0.017875925	0.5174066	0.9988063	0.005690084	0.1268617	0.43414286	0.013898856
59	205.97173	40.569065	315.09613	110.392075	50.0	65.57846	45.329903	162.093	-11.846999	1350000	4.4703485e-09	446.8583	-0.023312686	-50.324646	0.56529367	0.009245032	0.1476889	79.0	5841.441547393799	0.3422222	0.09555556	0.082543164	0.16295011	0.009807758	1.611094	3.129317	0.029769348	0.51282716	0.99609256	0.0094758775	0.12783687	0.33729312	0.014412956
60	205.77455	39.1386	293.93042	121.63756	50.0	67.20749	46.550526	163.56667	-12.08448	1372500	2.0861625e-08	415.5363	-0.023465257	-47.32398	0.561889	0.010859473	0.14822222	79.0	5937.729338169098	0.3422222	0.1	0.08113925	0.16042857	0.0016829879	1.6142977	3.1379178	0.0074324575	0.51384693	0.9988302	0.0023658248	0.12606451	0.3147575	0.014248557
61	204.65312	41.0543	301.44055	107.7297	50.0	68.81878	46.776886	164.78807	-7.717348	1395000	2.2351743e-09	420.11664	-0.023631599	-46.30793	0.55500376	0.012673421	0.1547111	79.0	6041.102688789368	0.36222222	0.12666667	0.08220429	0.1609468	0.0006915654	1.6101671	3.1415112	0.013021588	0.5125322	0.9999741	0.0041449005	0.12712555	0.3060122	0.009614925
62	207.59851	37.858356	300.84406	130.30104	50.0	67.65534	47.103893	166.13867	-10.763321	1417500	-6.3329937e-09	410.09073	-0.024715185	-57.51833	0.54764986	0.0122724	0.152	79.0	6149.245964050293	0.4	0.13333334	0.07727929	0.16313311	0.005984441	1.6112508	3.1393797	0.0023288026	0.5128771	0.9992956	0.00074128085	0.12018697	0.3109458	0.008688295
63	204.15729	40.749763	308.99893	110.456215	50.0	68.77125	47.114994	167.34474	-12.08679	1440000	-2.9802323e-09	457.00986	-0.023529738	-62.115833	0.5415889	0.010927128	0.14222221	79.0	6251.2341566085815	0.36	0.09777778	0.0822877	0.16448538	0.0018984131	1.6150393	3.1312191	0.011850048	0.51408297	0.996698	0.0037719873	0.12881832	0.37322938	0.010308213
64	212.81598	40.359833	301.30917	110.30152	50.0	69.68494	47.27521	168.3881	-11.688915	1462500	1.4901161e-08	458.96387	-0.024098443	-57.326683	0.5354279	0.011986716	0.16475555	79.0	6355.518709421158	0.40666667	0.12444445	0.07578077	0.16322851	0.0042470815	1.5621502	3.1236048	0.026977316	0.49724784	0.99427426	0.008587146	0.12055778	0.31102878	0.0107763205
