Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	SuccessRateVal	OriSuccessRateVal	FinalDist	MaxFinalDist	MinFinalDist	FinalOriDist	MaxFinalOriDist	MinFinalOriDist	FinalOriScaledDist	MaxFinalOriScaledDist	MinFinalOriScaledDist
51	816.37524	890.7366	2541.7402	-181.26921	600.0	117.498825	129.15134	342.73727	-117.827354	1248000	3.7252903e-09	7284.1157	-0.030940706	-1382.2504	0.7291169	0.015109308	0.18820834	55.0	1980.260987997055	0.20833333	0.29166666	0.0865106	0.15125819	0.016367959	0.5642085	0.9372419	0.10190791	0.5642085	0.9372419	0.10190791
52	1021.291	716.0219	2239.661	-373.96365	600.0	149.90556	123.81363	355.5919	-73.05785	1272000	9.934108e-09	10436.243	-0.03097476	-2241.7637	0.725419	0.015079907	0.18675001	58.0	2017.6944286823273	0.25	0.45833334	0.086880766	0.1518345	0.04854171	0.45661736	0.81166357	0.03686493	0.45661736	0.81166357	0.03686493
53	625.0324	892.3977	2567.4214	-871.4683	600.0	108.996574	105.24014	317.8364	-74.684784	1296000	-2.483527e-09	7769.5024	-0.03448798	-1075.5656	0.71857977	0.013192858	0.20979166	79.0	2056.1731531620026	0.20833333	0.375	0.09163424	0.1668407	0.02376649	0.5692591	0.9878346	0.00751357	0.5692591	0.9878346	0.00751357
54	637.80255	844.8015	2563.6545	-301.53748	600.0	126.65562	114.92386	342.4318	-84.25158	1320000	9.934108e-09	10764.823	-0.029614853	-2121.489	0.7126985	0.015086117	0.18320835	41.0	2093.5303790569305	0.125	0.375	0.10810215	0.18093152	0.01573449	0.47738588	0.9852597	0.08105316	0.47738588	0.9852597	0.08105316
55	681.44214	909.17474	2365.0996	-893.04346	600.0	117.81007	133.5518	383.36765	-88.23143	1344000	9.934108e-09	7434.4517	-0.035291716	-1039.9457	0.71053106	0.012983159	0.20808333	79.0	2131.714218378067	0.29166666	0.29166666	0.083422385	0.15883385	0.013531732	0.5618188	0.9879741	0.002963328	0.5618188	0.9879741	0.002963328
56	1048.7291	914.44434	2382.5632	-819.027	600.0	149.58835	127.7361	376.56625	-95.32253	1368000	8.692344e-09	11482.222	-0.031094112	-2359.905	0.70530945	0.015039074	0.18945833	47.0	2170.0372381210327	0.20833333	0.5416667	0.09710065	0.17698947	0.0121073825	0.4256511	0.9533197	0.019524535	0.4256511	0.9533197	0.019524535
57	839.0489	874.09216	2352.5054	-298.01807	600.0	138.25038	119.09714	339.62997	-90.42112	1392000	-2.483527e-09	11270.028	-0.034741867	-2061.277	0.7012172	0.014905115	0.22049999	79.0	2214.361351966858	0.125	0.375	0.0988986	0.16912112	0.013859322	0.51423967	0.98480654	0.006450533	0.51423967	0.98480654	0.006450533
58	906.71954	841.55383	2576.5437	-311.26212	600.0	123.782814	128.22488	369.04214	-94.09749	1416000	1.7384687e-08	10453.379	-0.03499189	-1664.2495	0.69443154	0.014197491	0.21183331	79.0	2252.992919921875	0.29166666	0.33333334	0.08020659	0.16231292	0.026193416	0.539471	0.9376486	0.030300189	0.539471	0.9376486	0.030300189
59	897.38727	874.7932	2411.3562	-507.69788	600.0	147.9871	132.7121	423.33716	-60.33594	1440000	1.3038516e-08	8400.358	-0.031783346	-2031.7731	0.6870888	0.015115954	0.19466667	47.0	2297.0371432304382	0.20833333	0.45833334	0.11989993	0.16692254	0.040330227	0.40942153	0.9536079	0.008349753	0.40942153	0.9536079	0.008349753
60	1122.8679	939.67194	2772.082	-64.74793	600.0	131.85976	110.2383	334.29807	-72.38865	1464000	1.4901161e-08	15041.191	-0.029897705	-2926.4434	0.68210155	0.01511145	0.18949999	49.0	2335.035094499588	0.41666666	0.41666666	0.07841233	0.15328518	0.024560886	0.47232404	0.97011656	0.011526943	0.47232404	0.97011656	0.011526943
61	769.30707	984.1746	2448.9988	-605.21173	600.0	130.76076	123.648766	411.2446	-78.20792	1488000	0.0	18446.469	-0.028500602	-2923.8035	0.67842704	0.015073693	0.19125001	45.0	2372.870735168457	0.25	0.375	0.087144084	0.1618283	0.018311111	0.5128151	0.970897	0.006295427	0.5128151	0.970897	0.006295427
62	504.00803	773.5695	2036.1372	-875.29846	600.0	95.57722	99.409164	346.23206	-69.775024	1512000	-1.9868216e-08	10181.868	-0.03265668	-1897.3007	0.678047	0.015377741	0.1915	54.0	2414.6345734596252	0.083333336	0.20833333	0.0975947	0.17993389	0.016063739	0.6010191	0.8952925	0.10128586	0.6010191	0.8952925	0.10128586
63	1005.99536	979.5455	2548.4456	-1335.8177	600.0	135.92107	118.639	349.0292	-59.95678	1536000	-4.967054e-09	13581.353	-0.03640107	-1999.7026	0.6753195	0.014950176	0.22020835	79.0	2452.380852460861	0.29166666	0.5833333	0.08922861	0.18048643	0.014754057	0.42055106	0.8580024	0.011556228	0.42055106	0.8580024	0.011556228
64	664.39307	929.22485	2363.5435	-951.62976	600.0	106.7604	115.72848	346.36148	-70.86053	1560000	2.483527e-09	12895.398	-0.025531398	-1769.1	0.67284864	0.015244787	0.17545836	30.0	2490.3758494853973	0.25	0.29166666	0.0905175	0.17884469	0.01865393	0.5371776	0.96280247	0.10672969	0.5371776	0.96280247	0.10672969
65	749.97955	902.10297	2674.5046	-943.7669	600.0	116.52392	103.56244	354.5384	-91.80396	1584000	-7.450581e-09	14807.109	-0.033285365	-1446.0526	0.6667747	0.0150527125	0.19720833	55.0	2527.6362340450287	0.29166666	0.45833334	0.09008229	0.16503778	0.022239147	0.48888564	0.9681984	0.042866144	0.48888564	0.9681984	0.042866144
66	871.211	855.39233	2490.2585	-361.03146	600.0	119.036316	103.29808	321.1693	-78.29707	1608000	1.7384687e-08	13878.489	-0.03283829	-2001.409	0.66526055	0.015056943	0.19729167	62.0	2566.09250164032	0.29166666	0.20833333	0.08005232	0.16425118	0.014701018	0.5906259	0.9818736	0.059826087	0.5906259	0.9818736	0.059826087
